,env,sex,subj,night,alpha,beta,negLL
0,Stable,M,2,1,0.0087826529020305,10.0,46.6151146885486
1,Stable,M,2,2,0.0410004872521754,2.21814563226057,97.6655193938892
2,Stable,M,2,3,0.0411313053817637,2.24856430721244,86.2401421166536
3,Stable,M,2,4,0.0414934326327318,2.21519606431695,88.1764935806241
4,Volatile,M,3,1,0.0174399289070982,4.46747679747309,117.944722798221
5,Volatile,M,3,2,0.125892327919153,4.6859990617289,96.7332753573159
6,Volatile,M,3,3,0.157677308132738,4.35026300425864,33.9921505517711
7,Volatile,M,3,4,0.103357755105362,6.42955663541014,33.4402793545054
8,Stable,M,4,1,0.999608641699325,2.31251095599973e-14,15.2492379723188
9,Stable,M,4,2,0.0244104717970651,3.45566954343946,74.6632566871737
10,Stable,M,4,3,0.0037159665378308,9.99999999983451,38.4142515574638
11,Stable,M,4,4,2.00978994530508e-33,3.13990241937379,25.5246904478008
12,Volatile,M,5,1,0.238304192674535,0.567365628647026,128.116937270568
13,Volatile,M,5,2,0.0106991115749325,6.54465232200305,101.667244402913
14,Volatile,M,5,3,0.381988448313043,0.473001451390495,77.719813090677
15,Volatile,M,5,4,0.563461478057954,0.378706234074773,69.4845876428047
16,Stable,M,6,1,0.0667498008516532,1.82132719416203,113.782247198422
17,Stable,M,6,2,0.0638345582298519,1.94292338481221,119.644406235038
18,Stable,M,6,3,0.0642772483557443,1.92042556381352,118.950459014953
19,Stable,M,6,4,0.0587757998054413,2.75506368223702,72.0630905608097
20,Stable,M,7,1,0.0351228324811349,4.35747112521041,68.9279311071844
21,Stable,M,7,2,0.0360477422560355,4.30483194853109,71.9859624911127
22,Stable,M,7,3,0.03484214895554,4.34106444553076,72.1980977624314
23,Stable,M,7,4,0.0351846058543538,4.39628716741598,65.6309764770363
24,Stable,M,9,1,0.401234668041934,3.87463840235796,6.24974901294215
25,Stable,M,9,2,0.004017351435336,9.99999999999999,5.45779741373602
26,Stable,M,9,3,5.82940072205042e-17,9.42830037928227,5.06901457874512
27,Stable,M,9,4,3.7644060335169496e-135,9.08367165438077,4.92195699753329
28,Stable,M,10,1,0.177036659449959,1.44601080813327,53.2154597636129
29,Stable,M,10,2,0.0695988684941332,2.60966121989098,73.8783278289681
30,Stable,M,10,3,0.046850594499827,3.0433041519218,97.7968486777973
31,Stable,M,10,4,0.0557698766398858,2.84197879940213,74.6936313490517
32,Stable,F,11,1,0.33061453061673,0.203752491136569,86.3050643322984
33,Stable,F,11,2,0.265969488760652,0.20549334855754,159.488031433264
34,Stable,F,11,3,0.298534998999135,0.209949299703667,133.922468364226
35,Stable,F,11,4,0.299258736653796,0.208999001480577,127.727749763597
36,Volatile,F,12,1,0.0116585250603397,10.0,68.9371889275266
37,Volatile,F,12,2,0.0076915443974452,8.25926458354539,85.3982526470388
38,Volatile,F,12,3,0.0099073737198898,8.5839136864595,88.3588273331637
39,Volatile,F,12,4,0.0097723975270113,8.63155447718976,108.735932578694
40,Stable,M,13,1,0.0844814991594917,2.10832053193514,124.824990127903
41,Stable,M,13,2,0.0026715258450381,9.99999852588156,66.9596022672179
42,Stable,M,13,3,0.0040640714870907,9.99999999999631,38.3867313263981
43,Stable,M,13,4,1.2887875642917702e-15,5.10096596746276,35.9238248050039
44,Volatile,F,14,1,0.0152008783566813,10.0,57.5198555280636
45,Volatile,F,14,2,0.0093949688449733,1.38845050888227,113.274044576675
46,Volatile,F,14,3,0.0238735094846694,10.0,33.0802305783435
47,Volatile,F,14,4,7.273814266094619e-34,5.25610072331159,88.9303903362814
48,Stable,F,15,1,0.838320596800736,2.59772852386753,17.5389668069643
49,Stable,F,15,2,0.844588960259975,3.08459197539128,9.52086800724819
50,Stable,F,15,3,0.79892815245703,2.57547981835038,16.7593583745942
51,Stable,F,15,4,0.794368839741975,2.54280177371303,16.6491392101818
52,Stable,F,16,1,0.470484898700372,0.916387801668459,129.871930317632
53,Stable,F,16,2,0.470369838491217,1.09722503415714,100.066964264764
54,Stable,F,16,3,0.346511914642731,1.3993476210537,70.4022472997275
55,Stable,F,16,4,0.449936921254451,1.50037098573151,60.3483727646295
56,Stable,F,17,1,0.245059163000462,2.53654274199008,104.483265351285
57,Stable,F,17,2,0.230017869194618,2.71124678471638,83.107127134178
58,Stable,F,17,3,0.0108295527217406,10.0,59.4029338335198
59,Stable,F,17,4,0.475455450466556,1.5636025317787,52.3791649125469
60,Stable,F,18,1,0.207437633698379,1.68525821283409,46.9636030961387
61,Stable,F,18,2,0.176519074360355,2.34248319649518,78.9232521084296
62,Stable,F,19,1,0.0108109973029277,3.1854119712807,81.657766038698
63,Stable,F,19,2,0.0032334220422007,9.99999999998467,59.3293392037367
64,Stable,F,19,3,0.002621861526987,9.99999994003626,72.3138614666829
65,Stable,F,19,4,0.31236753033243,0.621319814498295,51.9565318582869
66,Volatile,M,20,1,0.139404071163095,2.42274514185043,117.915350890763
67,Volatile,M,20,2,0.183900133041525,1.81936525942325,116.827275983749
68,Volatile,M,20,3,0.207687073172064,1.52604400980177,115.834717585233
69,Volatile,M,20,4,0.159371121566022,1.71832256950775,82.1179551294933
70,Stable,M,21,1,1.0,0.559615822723356,38.9595780527446
71,Stable,M,21,2,0.48782030074264,2.0756040237757,28.3693617856339
72,Stable,M,21,3,0.0968028101724118,10.0,9.05884504513872
73,Stable,M,21,4,0.0856617837759009,9.99999999999993,10.4484379031369
74,Volatile,F,22,1,0.0056240416147437,9.99999999990867,56.9238671714333
75,Volatile,F,22,2,2.49764296134768e-186,10.0,66.7869778083294
76,Volatile,F,22,3,7.12493004757129e-05,10.0,45.6891740226547
77,Volatile,F,22,4,0.0,10.0,72.2614262216426
78,Volatile,F,23,1,0.324500557075978,2.86823541365018,12.0679170149044
79,Volatile,F,23,2,0.0728727431207975,4.08922649684411,88.406805710097
80,Volatile,F,23,3,0.0565212492532544,9.9999999999929,32.2908586900547
81,Volatile,F,23,4,0.0655313178292653,4.82534714993933,77.5655202865497
82,Volatile,F,24,1,0.0349549744136727,6.04601256862593,141.049450060345
83,Volatile,F,24,2,0.111640567515508,4.90402713823596,73.8227117926353
84,Volatile,F,24,3,0.104143186139041,5.82502226136085,53.3524908227764
85,Volatile,F,24,4,0.0258633996097437,6.31324983697709,131.146286928888
86,Volatile,F,25,1,0.300159455280455,5.33548226531269,16.7334534398983
87,Volatile,F,25,2,0.600424464410626,1.85413706374192,61.1124729105492
88,Volatile,F,25,3,0.279301269050735,4.31775511427488,38.6998851262981
89,Volatile,F,25,4,0.502484806026407,2.14210302778469,56.1388555903516
